browse 浏览
browser 浏览器
cancel 取消
launch 发射，发动,[计算机]开始(程序)
workspace 工作区
default 未履行，[计算机]默认值
file 档案，文件
new 新的
folder 文件夹
class 班级，种类
package 包装，把…装箱
preferences 参数选择,较喜欢的东西
view 看法，风景，视图
editor 编辑，[计算机]编辑软件，编辑程序
finish 完成，结束
next 下一个，下一位
run 奔跑，运行
as 同样地，以…的身份
server 服务器，侍者
application 应用(程序)
request 请求
response 响应，答复
get 得到，抓住 
getter 获得者
set 设置，放置
setter 安放者，安装员
constructor 构造器,[计算机]构造函数
attribute 属性，（人或物的）特征
element 元素，要素
style 方式，样式
script 脚本，剧本
filter 过滤，过滤器
listener 听众，倾听者，收听者
servlet [计算机]小服务程序
location 定位，位置
width 宽度，广度
height 身高，高度，海拔
color 颜色，色彩
background 背景
display 显示器，显示
data 数据，资料
database 数据库，资料库
date 约会，日期
create 产生，创造
table 桌子，表，制表
primary 首要的，主要的
increment 增量;增长
null 零值的，失效的
insert 插入，嵌入，添加
update 更新
modify 修改，被修饰
delete 删除
unique 唯一的，独一无二的
enum 枚举，列举类型
check 检查，核对
close 关闭，亲近的
apply 申请，应用
document 文档
padding 衬垫
margin 边缘，（版心外）的空白 
